71320320,47536384
71320320,47536128
71320320,47535872
71320576,47535872
71320576,47535616
71320576,47535360
71320832,47535360
71320832,47535104
71320832,47534848
71321088,47534848
71321088,47534592
71321088,47534336
71321344,47534336
71321344,47534080
71321344,47533824
71321344,47533568
71321600,47533568
71321600,47533312
71321600,47533056
71321856,47533056
71321856,47532800
71321856,47532544
71322112,47532544
71322112,47532288
71322112,47532032
71322368,47532032
71322368,47531776
71322368,47531520
71322624,47531520
71322624,47531264
