46.396,11.296
46.397,11.297
46.396,11.297
46.397,11.297
46.397,11.297
46.398,11.298
46.397,11.297
46.399,11.298
46.399,11.298
46.4,11.299
46.399,11.298
46.4,11.299
46.4,11.299
46.4,11.299
46.4,11.299
46.401,11.3
46.401,11.3
46.403,11.301
46.402,11.301
46.403,11.301
46.403,11.301
46.404,11.301
46.403,11.301
46.404,11.302
46.404,11.302
46.405,11.302
46.404,11.302
46.396,11.297
46.396,11.296
46.396,11.297
46.396,11.297
46.397,11.297
46.397,11.297
46.398,11.298
46.398,11.298
46.398,11.298
46.398,11.298
46.399,11.298
46.398,11.298
46.401,11.299
46.4,11.299
46.401,11.3
46.401,11.299
46.402,11.3
46.402,11.3
46.403,11.301
46.403,11.301
46.402,11.3
46.401,11.3
46.402,11.3
46.402,11.301
46.402,11.3
46.403,11.301
46.402,11.301
