71320361,47536637
71320382,47536581
71320396,47536543
71320418,47536485
71320440,47536430
71320462,47536374
71320484,47536320
71320501,47536280
71320524,47536225
71320547,47536172
71320570,47536119
71320594,47536064
71320620,47536004
71320641,47535956
71320665,47535902
71320694,47535835
71320718,47535782
71320743,47535727
71320767,47535673
71320784,47535632
71320811,47535573
71320835,47535519
71320859,47535465
71320884,47535411
71320910,47535352
71320932,47535304
71320956,47535251
71320980,47535197
71321004,47535144
71321023,47535103
71321048,47535046
71321073,47534993
71321097,47534938
71321121,47534884
71321142,47534839
71321166,47534787
71321190,47534734
71321215,47534679
71321239,47534627
71321263,47534572
71321290,47534511
71321314,47534458
71321338,47534403
71321362,47534349
71321383,47534303
71321410,47534242
71321434,47534188
71321458,47534134
71321479,47534088
71321503,47534034
71321527,47533980
71321552,47533924
71321576,47533870
71321599,47533817
71321624,47533763
71321648,47533708
71321673,47533654
71321698,47533598
71321722,47533545
71321747,47533491
71321771,47533436
71321796,47533382
71321822,47533325
71321846,47533272
71321870,47533218
71321895,47533163
71321920,47533109
71321946,47533053
71321970,47533000
71321995,47532945
71322019,47532891
71322044,47532836
71322069,47532780
71322092,47532727
71322117,47532672
71322141,47532617
71322165,47532562
71322190,47532507
71322215,47532453
71322239,47532399
71322267,47532338
71322289,47532288
71322313,47532234
71322338,47532179
71322362,47532126
71322387,47532070
71322411,47532016
71322436,47531961
71322460,47531907
71322484,47531853
71322510,47531797
71322534,47531742
71322559,47531688
71322583,47531635
71322608,47531580
71322632,47531526
71322657,47531471
71322682,47531416
71322706,47531362
71322731,47531308
