46.395682	11.296268
46.396666	11.296888
46.396368	11.296697
46.397430	11.297373
46.397147	11.297191
46.397615	11.297502
46.397432	11.297384
46.398891	11.298336
46.398569	11.298127
46.399509	11.298728
46.399043	11.298427
46.399936	11.299007
46.399552	11.298757
46.400421	11.299334
46.400051	11.299092
46.401401	11.299962
46.400937	11.299661
46.402722	11.300809
46.402374	11.300584
46.403297	11.301182
46.402840	11.300887
46.403661	11.301434
46.403303	11.301201
46.404242	11.301823
46.403776	11.301520
46.404638	11.302072
46.404250	11.301820
46.396194	11.296579
46.395798	11.296335
46.396366	11.296687
46.396215	11.296590
46.397139	11.297183
46.396673	11.296882
46.398087	11.297800
46.397650	11.297518
46.398473	11.298063
46.398155	11.297856
46.398562	11.298122
46.398484	11.298071
46.400586	11.299433
46.400462	11.299353
46.400930	11.299656
46.400602	11.299444
46.401875	11.300270
46.401658	11.300130
46.402824	11.300898
46.402698	11.300817
46.401634	11.300122
46.401409	11.299978
46.401821	11.300294
46.402263	11.300533
46.401882	11.300286
46.402604	11.300758
46.402387	11.300613
